Variable Name,Variable Description,Data File Name,Data File Description,Begin Year,EndYear,Component,Use Constraints
VIXKRMM,Keratometric measure.  Radius of corneal curvature (in mm) averaged across meridians in the examinee's right eye.,VIX_E,Vision,2007,2008,Examination,None
VIXNC1,"The number of the last line the examinee read with one or fewer misses, that is the number of the last line where the examinee read at least four out of the five characters correctly.  Line 1 has the largest print: line 5 has the smallest print.",VIX_E,Vision,2007,2008,Examination,None
VIXNC2,Record to the nearest inch the distance from the center of the card to the examinee's brow.,VIX_E,Vision,2007,2008,Examination,None
VIXOCMT,The examiner can note special circumstances related to a visual acuity test.,VIX_E,Vision,2007,2008,Examination,None
VIXOLAM,Axis of refractive astigmatism (median value of three objective refractions) of the examinee's left eye.,VIX_E,Vision,2007,2008,Examination,None
VIXOLCM,Cylindrical dioptric power (median value of three objective refractions) of the examinee's left eye.,VIX_E,Vision,2007,2008,Examination,None
VIXOLSM,Spherical dioptric power (median value of three objective refractions) of the examinee's left eye.,VIX_E,Vision,2007,2008,Examination,None
VIXORAM,Axis of refractive astigmatism (median value of three objective refractions) of the examinee's right eye.,VIX_E,Vision,2007,2008,Examination,None
VIXORCM,Cylindrical dioptric power (median value of three objective refractions) of the examinee's right eye.,VIX_E,Vision,2007,2008,Examination,None
VIXORSM,Spherical dioptric power (median value of three objective refractions) of the examinee's right eye.,VIX_E,Vision,2007,2008,Examination,None
VIXPLA,Prescription of the axis in the left lens used for distance correction.,VIX_E,Vision,2007,2008,Examination,None
VIXPLC,Prescription of the cylinder in the left lens used for distance correction.,VIX_E,Vision,2007,2008,Examination,None
VIXPLS,Prescription of the sphere in the left lens used for distance correction.,VIX_E,Vision,2007,2008,Examination,None
VIXPRA,Prescription of the axis in the right lens used for distance correction,VIX_E,Vision,2007,2008,Examination,None
VIXPRC,Prescription of the cylinder in the right lens used for distance correction,VIX_E,Vision,2007,2008,Examination,None
VIXPRS,The prescription of the sphere in the right lens used for distance correction.,VIX_E,Vision,2007,2008,Examination,None
BPAARM,Arm selected:,BPX_E,Blood Pressure,2007,2008,Examination,None
BPACSZ,Cuff size (cm) (width X length),BPX_E,Blood Pressure,2007,2008,Examination,None
BPAEN1,Enhancement used first reading,BPX_E,Blood Pressure,2007,2008,Examination,None
BPAEN2,Enhancement used second reading,BPX_E,Blood Pressure,2007,2008,Examination,None
BPAEN3,Enhancement used third reading,BPX_E,Blood Pressure,2007,2008,Examination,None
BPAEN4,Enhancement used fourth reading,BPX_E,Blood Pressure,2007,2008,Examination,None
BPQ150A,Have you had any of the following in the past 30 minutes?:  Food,BPX_E,Blood Pressure,2007,2008,Examination,None
BPQ150B,Have you had any of the following in the past 30 minutes?:  Alcohol,BPX_E,Blood Pressure,2007,2008,Examination,None
BPQ150C,Have you had any of the following in the past 30 minutes?:  Coffee,BPX_E,Blood Pressure,2007,2008,Examination,None
BPQ150D,Have you had any of the following in the past 30 minutes?:  Cigarettes,BPX_E,Blood Pressure,2007,2008,Examination,None
BPXCHR,60 sec HR (30 sec HR * 2),BPX_E,Blood Pressure,2007,2008,Examination,None
BPXDI1,Diastolic:  Blood pressure (first reading) mm Hg,BPX_E,Blood Pressure,2007,2008,Examination,None
BPXDI2,Diastolic: Blood pressure (second reading) mm Hg,BPX_E,Blood Pressure,2007,2008,Examination,None
BPXDI3,Diastolic: Blood pressure (third reading) mm Hg,BPX_E,Blood Pressure,2007,2008,Examination,None
BPXDI4,Diastolic:  Blood pressure (fourth reading if necessary) mm Hg,BPX_E,Blood Pressure,2007,2008,Examination,None
BPXML1,MIL: maximum inflation levels (mm Hg),BPX_E,Blood Pressure,2007,2008,Examination,None
BPXPLS,60 sec. pulse (30 sec. pulse * 2):,BPX_E,Blood Pressure,2007,2008,Examination,None
BPXPTY,Pulse type:,BPX_E,Blood Pressure,2007,2008,Examination,None
BPXPULS,Pulse regular or irregular?,BPX_E,Blood Pressure,2007,2008,Examination,None
BPXSY1,Systolic:  Blood pressure (first reading) mm Hg,BPX_E,Blood Pressure,2007,2008,Examination,None
BPXSY2,Systolic:  Blood pressure (second reading) mm Hg,BPX_E,Blood Pressure,2007,2008,Examination,None
BPXSY3,Systolic:  Blood pressure (third reading) mm Hg,BPX_E,Blood Pressure,2007,2008,Examination,None
BPXSY4,Systolic:  Blood pressure (fourth reading if necessary) mm Hg,BPX_E,Blood Pressure,2007,2008,Examination,None
PEASCCT1,Blood Pressure Comment,BPX_E,Blood Pressure,2007,2008,Examination,None
PEASCST1,Blood Pressure Status,BPX_E,Blood Pressure,2007,2008,Examination,None
PEASCTM1,Blood Pressure Time in Seconds,BPX_E,Blood Pressure,2007,2008,Examination,None
SEQN,Respondent sequence number.,BPX_E,Blood Pressure,2007,2008,Examination,None
OPASCCT1,Reason for a Partial or Not Done Exam,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPASCST1,FDT STATUS,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPDODFDT,"Final Right Eye Status - 2-2-1 Algorithm defined visual field loss, incorporating test reliability indices.",OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPDOSFDT,"Final Left Eye Status - 2-2-1 Algorithm defined visual field loss, incorporating test reliability indices.",OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OD02,CT screening result code - Right Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OD03,T6 screening result code - Right Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OD04,T2 screening result code - Right Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OD05,T5 screening result code - Right Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OD06,T1 screening result code  - Right Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OD07,N2 screening result code - Right Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OD08,N6 screening result code - Right Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OD09,N1 screening result code - Right Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OD10,N5 screening result code - Right Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OD11,N3 screening result code - Right Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OD12,N7 screening result code - Right Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OD13,N4 screening result code - Right Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OD14,N8 screening result code - Right Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OD15,T7 screening result code - Right Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OD16,T3 screening result code - Right Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OD17,T8 screening result code - Right Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OD18,T4 screening result code - Right Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OD19,NS screening result code -Right Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OD20,NI screening result code - Right Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1ODBS,Blind Spot Test - The ratio of the number of times participant responded to a target placed in the blind spot versus the total number of targets presented - Right Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1ODFP,"False Positive Test - The ratio of the number of times participant responded to a ""pause"" during testing (i.e., no target presented) versus total number of ""pauses"" presented - Right Eye - Test 1",OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1ODTN,Participant not fixating on target - Technician noted - Right Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OS00,NS screening result code - Left Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OS01,NI screening result code - Left Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OS02,CT screening result code - Left Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OS03,N2 screening result code - Left Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OS04,N6 screening result code - Left Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OS05,N1 screening result code - Left Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OS06,N5 screening result code - Left Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OS07,T6 screening result code - Left Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OS08,T2 screening result code - Left Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OS09,T5 screening result code - Left Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OS10,T1 screening result code - Left Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OS11,T7 screening result code - Left Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OS12,T3 screening result code - Left Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OS13,T8 screening result code - Left Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OS14,T4 screening result code - Left Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OS15,N3 screening result code - Left Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OS16,N7 screening result code - Left Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OS17,N4 screening result code - Left Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OS18,N8 screening result code - Left Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OSBS,Blind Spot Test - The ratio of the number of times participant responded to a target placed in the blind spot versus the total number of targets presented - Left Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OSFP,"False Positive Test - The ratio of the number of times participant responded to a ""pause"" during testing (i.e., no target presented) versus total number of ""pauses"" presented - Left Eye - Test 1",OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX1OSTN,Participant not fixating on target - Technician noted - Left Eye - Test 1,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OD02,CT screening result codes - Right Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OD03,T6 screening result code - Right Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OD04,T2 screening result code - Right Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OD05,T5 screening result code - Right Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OD06,T1 screening result code  - Right Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OD07,N2 screening result code - Right Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OD08,N6 screening result code - Right Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OD09,N1 screening result code - Right Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OD10,N5 screening result code - Right Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OD11,N3 screening result code - Right Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OD12,N7 screening result code - Right Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OD13,N4 screening result code - Right Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OD14,N8 screening result code - Right Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OD15,T7 screening result code - Right Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OD16,T3 screening result code - Right Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OD17,T8 screening result code - Right Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OD18,T4 screening result code - Right Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OD19,NS screening result code - Right Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OD20,NI screening result code - Right Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2ODBS,Blind Spot Test - The ratio of the number of times participant responded to a target placed in the blind spot versus the total number of targets presented - Right Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2ODFP,"False Positive Test - The ratio of the number of times participant responded to a ""pause"" during testing (i.e., no target presented) versus total number of ""pauses"" presented - Right Eye - Test 2",OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2ODTN,Participant not fixating on target - Technician noted - Right Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OS00,NS screening result codes - Left Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OS01,NI screening result code - Left Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OS02,CT screening result code - Left Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OS03,N2 screening result code - Left Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OS04,N6 screening result code  - Left Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OS05,N1 screening result code - Left Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OS06,N5 screening result code - Left Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OS07,T6 screening result code - Left Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OS08,T2 screening result code - Left Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OS09,T5 screening result code - Left Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OS10,T1 screening result code - Left Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OS11,T7 screening result code - Left Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OS12,T3 screening result code - Left Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OS13,T8 screening result code - Left Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OS14,T4 screening result code - Left Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OS15,N3 screening result code - Left Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OS16,N7 screening result code - Left Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
OPX2OS17,N4 screening result code - Left Eye - Test 2,OPXFDT_E,Ophthalmology - Frequency Doubling Technology,2007,2008,Examination,None
